date,machine_id,shift,operator_id,units_produced,defective_units,downtime_minutes
2025-01-10,M1,DAY,OP7,148,12,42.0
2025-01-10,M1,Night,OP2,179,12,129.0
2025-01-10,M2,Day,OP5,109,3,28.0
2025-01-10,M2,Night,OP3,146,6,22.0
2025-01-10,M3,Day,OP1,114,12,36.0
2025-01-10,M3,Night,OP3,100,9,47.0
2025-01-10,M4,Day,OP5,148,5,31.0
2025-01-10,M4,Night,OP1,163,10,38.0
2025-01-10,M5,Day,OP7,109,2,2.0
2025-01-10,M5,Night,OP10,101,3,20.0
2025-01-11,M1,Day,OP5,173,16,86.0
2025-01-11,M1,Night,OP8,115,8,118.0
2025-01-11,M2,Day,OP5,155,5,18.0
2025-01-11,M2,Night,OP1,165,10,20.0
2025-01-11,M3,Day,OP3,148,17,26.0
2025-01-11,M3,Night,OP4,159,17,35.0
2025-01-11,M4,Day,OP9,180,7,12.0
2025-01-11,M4,Night,OP7,179,17,65.0
2025-01-11,M5,Day,OP2,131,3,5.0
2025-01-11,M5,Night,OP9,117,4,8.0
2025-01-12,M1,Day,OP6,133,14,108.0
2025-01-12,M1,Night,,122,11,62.0
2025-01-12,M2,Day,OP10,118,4,5.0
2025-01-12,M2,Night,OP2,145,9,25.0
2025-01-12,M3,Day,OP1,147,16,23.0
2025-01-12,M3,Night,OP10,133,13,49.0
2025-01-12,M4,Day,OP1,171,7,31.0
2025-01-12,M4,Night,OP5,157,4,47.0
2025-01-12,M5,Day,OP9,147,3,15.0
2025-01-12,M5,Night,OP10,159,4,17.0
2025-01-13,M1,Day,OP4,123,7,44.0
2025-01-13,M1,Night,OP8,142,12,123.0
2025-01-13,M2,Day,OP6,144,7,72.0
2025-01-13,M2,Night,OP1,138,4,24.0
2025-01-13,M3,Day,OP8,124,13,15.0
2025-01-13,M3,Night,OP10,122,15,44.0
2025-01-13,M4,Day,OP7,157,6,9.0
2025-01-13,M4,Night,OP9,127,6,49.0
2025-01-13,M5,day,OP5,127,2,13.0
2025-01-13,M5,Night,OP1,133,3,15.0
2025-01-14,M1,Day,OP10,130,12,97.0
2025-01-14,M1,Night,OP6,137,13,123.0
2025-01-14,M2,Day,OP8,100,5,20.0
2025-01-14,M2,Night,OP9,134,5,35.0
2025-01-14,M3,Day,OP2,138,13,21.0
2025-01-14,M3,Night,OP3,128,16,95.0
2025-01-14,M4,day,OP2,157,12,66.0
2025-01-14,M4,Night,OP3,112,5,35.0
2025-01-14,M5,Day,OP3,117,2,12.0
2025-01-14,M5,Night,OP9,167,3,20.0
2025-01-15,M1,Day,OP9,104,10,155.0
2025-01-15,M1,Night,OP10,155,12,120.0
2025-01-15,M2,day,OP2,152,3,36.0
2025-01-15,M2,Night,OP1,102,8,70.0
2025-01-15,M3,Day,OP10,103,10,18.0
2025-01-15,M3,Night,OP5,165,17,43.0
2025-01-15,M4,Day,OP2,147,8,21.0
2025-01-15,M4,Night,OP6,102,5,29.0
2025-01-15,M5,Day,OP6,135,2,9.0
2025-01-15,M5,Night,OP4,163,4,12.0
2025-01-16,M1,Day,OP5,172,17,59.0
2025-01-16,M1,Night,OP10,161,11,109.0
2025-01-16,M2,Day,OP10,176,9,20.0
2025-01-16,M2,Night,OP1,152,9,48.0
2025-01-16,M3,day,OP3,129,18,53.0
2025-01-16,M3,Night,OP5,180,28,94.0
2025-01-16,M4,Day,OP3,134,4,7.0
2025-01-16,M4,Night,OP5,134,4,44.0
2025-01-16,M5,Day,OP9,137,1,4.0
2025-01-16,M5,Night,OP5,146,8,47.0
2025-01-17,M1,Day,OP10,158,9,71.0
2025-01-17,M1,Night,OP3,176,22,140.0
2025-01-17,M2,Day,OP4,160,4,15.0
2025-01-17,M2,Night,OP5,154,7,13.0
2025-01-17,M3,Day,OP3,128,14,31.0
2025-01-17,M3,Night,,176,16,53.0
2025-01-17,M4,Day,OP10,177,4,9.0
2025-01-17,M4,Night,OP9,125,5,45.0
2025-01-17,M5,Day,OP9,135,1,14.0
2025-01-17,M5,Night,OP3,135,3,28.0
2025-01-18,M1,Day,OP10,101,5,115.0
2025-01-18,M1,Night,OP8,112,7,124.0
2025-01-18,M2,Day,OP3,142,3,14.0
2025-01-18,M2,Night,OP2,104,4,15.0
2025-01-18,M3,Day,OP4,154,17,
2025-01-18,M3,Night,OP8,147,16,47.0
2025-01-18,M4,Day,OP4,110,2,7.0
2025-01-18,M4,Night,OP6,127,8,49.0
2025-01-18,M5,Day,OP3,174,4,15.0
2025-01-18,M5,Night,OP10,158,8,60.0
2025-01-19,M1,day,OP1,180,10,53.0
2025-01-19,M1,Night,OP6,140,11,52.0
2025-01-19,M2,Day,OP1,151,10,57.0
2025-01-19,M2,Night,OP2,164,6,43.0
2025-01-19,M3,day,OP1,150,20,65.0
2025-01-19,M3,Night,OP7,168,19,35.0
2025-01-19,M4,Day,OP5,127,3,22.0
2025-01-19,M4,Night,OP8,143,7,53.0
2025-01-19,M5,Day,OP3,126,2,2.0
2025-01-19,M5,Night,OP2,128,7,35.0
2025-01-20,M1,Day,OP5,130,6,55.0
2025-01-20,M1,Night,OP10,161,13,85.0
2025-01-20,M2,Day,OP3,144,7,20.0
2025-01-20,M2,Night,OP1,144,8,47.0
2025-01-20,M3,Day,OP3,126,14,36.0
2025-01-20,M3,Night,OP8,134,16,76.0
2025-01-20,M4,Day,OP9,173,10,29.0
2025-01-20,M4,Night,OP8,109,8,64.0
2025-01-20,M5,Day,OP2,106,2,11.0
2025-01-20,M5,Night,OP10,162,4,30.0
2025-01-21,M1,Day,OP6,104,8,64.0
2025-01-21,M1,Night,OP7,151,13,86.0
2025-01-21,M2,day,OP2,153,3,12.0
2025-01-21,M2,Night,OP6,173,9,57.0
2025-01-21,M3,Day,OP4,136,13,17.0
2025-01-21,M3,Night,OP8,138,14,42.0
2025-01-21,M4,Day,OP3,117,4,29.0
2025-01-21,M4,Night,OP4,180,6,12.0
2025-01-21,M5,Day,OP5,164,4,8.0
2025-01-21,M5,Night,OP6,113,4,22.0
2025-01-22,M1,Day,OP3,121,7,47.0
2025-01-22,M1,Night,OP8,161,18,115.0
2025-01-22,M2,Day,OP8,102,3,25.0
2025-01-22,M2,Night,OP6,171,8,48.0
2025-01-22,M3,Day,OP9,167,19,36.0
2025-01-22,M3,Night,OP5,143,17,47.0
2025-01-22,M4,Day,OP8,160,5,7.0
2025-01-22,M4,Night,OP9,125,7,39.0
2025-01-22,M5,Day,OP6,132,3,
2025-01-22,M5,Night,OP3,156,4,11.0
2025-01-23,M1,Day,OP7,128,12,67.0
2025-01-23,M1,Night,OP2,153,10,126.0
2025-01-23,M2,day,OP5,102,2,26.0
2025-01-23,M2,Night,OP5,170,9,15.0
2025-01-23,M3,Day,OP8,151,16,37.0
2025-01-23,M3,Night,OP3,180,22,18.0
2025-01-23,M4,Day,OP5,125,6,14.0
2025-01-23,M4,Night,OP10,131,7,26.0
2025-01-23,M5,Day,OP8,145,2,9.0
2025-01-23,M5,Night,OP5,169,6,32.0
2025-01-24,M1,Day,OP3,168,14,68.0
2025-01-24,M1,Night,OP1,133,9,72.0
2025-01-24,M2,Day,OP6,179,4,11.0
2025-01-24,M2,Night,OP8,128,8,37.0
2025-01-24,M3,Day,OP4,126,14,24.0
2025-01-24,M3,Night,OP3,106,11,26.0
2025-01-24,M4,Day,OP4,175,9,6.0
2025-01-24,M4,Night,OP4,103,4,35.0
2025-01-24,M5,Day,OP10,174,8,26.0
2025-01-24,M5,Night,OP4,149,4,12.0
2025-01-25,M1,Day,OP7,116,8,118.0
2025-01-25,M1,Night,OP5,146,14,72.0
2025-01-25,M2,Day,OP2,128,7,32.0
2025-01-25,M2,Night,OP8,125,5,48.0
2025-01-25,M3,Day,OP6,144,15,40.0
2025-01-25,M3,Night,OP6,159,23,67.0
2025-01-25,M4,Day,OP2,175,10,27.0
2025-01-25,M4,Night,OP2,104,3,30.0
2025-01-25,M5,Day,OP6,164,4,5.0
2025-01-25,M5,Night,OP7,123,3,23.0
2025-01-26,M1,Day,OP7,129,8,105.0
2025-01-26,M1,Night,OP9,166,15,73.0
2025-01-26,M2,Day,OP5,158,8,35.0
2025-01-26,M2,Night,OP10,164,6,32.0
2025-01-26,M3,Day,OP1,165,13,22.0
2025-01-26,M3,Night,OP4,136,13,36.0
2025-01-26,M4,Day,OP5,156,5,7.0
2025-01-26,M4,Night,OP6,154,7,20.0
2025-01-26,M5,Day,OP2,177,4,10.0
2025-01-26,M5,Night,OP10,114,4,18.0
2025-01-27,M1,Day,OP10,142,9,99.0
2025-01-27,M1,Night,OP1,177,18,143.0
2025-01-27,M2,Day,OP9,111,3,7.0
2025-01-27,M2,Night,OP4,179,7,36.0
2025-01-27,M3,day,OP10,111,13,28.0
2025-01-27,M3,Night,OP10,148,16,43.0
2025-01-27,M4,Day,OP10,113,2,15.0
2025-01-27,M4,Night,OP1,134,4,41.0
2025-01-27,M5,Day,OP3,164,1,14.0
2025-01-27,M5,Night,OP9,144,4,25.0
2025-01-28,M1,DAY,OP1,180,16,90.0
2025-01-28,M1,Night,OP4,139,12,121.0
2025-01-28,M2,Day,OP3,114,5,12.0
2025-01-28,M2,Night,OP9,158,7,30.0
2025-01-28,M3,Day,OP9,158,15,11.0
2025-01-28,M3,Night,OP3,137,12,27.0
2025-01-28,M4,DAY,OP8,116,3,23.0
2025-01-28,M4,Night,OP4,150,10,24.0
2025-01-28,M5,Day,OP3,102,2,14.0
2025-01-28,M5,Night,OP9,122,8,41.0
2025-01-29,M1,Day,OP2,120,10,109.0
2025-01-29,M1,Night,OP5,108,9,68.0
2025-01-29,M2,Day,OP8,132,5,34.0
2025-01-29,M2,Night,OP9,170,9,34.0
2025-01-29,M3,Day,OP7,178,15,39.0
2025-01-29,M3,Night,OP5,161,20,54.0
2025-01-29,M4,Day,OP7,135,5,7.0
2025-01-29,M4,Night,OP4,177,7,24.0
2025-01-29,M5,Day,OP4,171,3,7.0
2025-01-29,M5,Night,OP6,152,3,21.0
2025-01-30,M1,Day,OP2,137,8,49.0
2025-01-30,M1,Night,OP1,174,11,77.0
2025-01-30,M2,Day,OP4,155,3,38.0
2025-01-30,M2,Night,OP8,170,8,32.0
2025-01-30,M3,Day,OP10,125,14,22.0
2025-01-30,M3,Night,OP9,118,11,50.0
2025-01-30,M4,Day,OP10,155,9,90.0
2025-01-30,M4,Night,OP10,168,7,54.0
2025-01-30,M5,Day,OP10,120,2,2.0
2025-01-30,M5,Night,OP2,166,5,13.0
2025-01-31,M1,Day,OP5,167,16,53.0
2025-01-31,M1,Night,OP7,145,11,96.0
2025-01-31,M2,day,OP10,137,5,22.0
2025-01-31,M2,Night,OP1,138,10,90.0
2025-01-31,M3,Day,OP2,133,13,20.0
2025-01-31,M3,Night,OP7,149,15,48.0
2025-01-31,M4,Day,OP7,155,5,31.0
2025-01-31,M4,Night,OP3,112,4,44.0
2025-01-31,M5,Day,OP5,155,2,3.0
2025-01-31,M5,Night,OP6,125,3,19.0
2025-02-01,M1,Day,OP10,164,14,97.0
2025-02-01,M1,Night,OP5,147,10,116.0
2025-02-01,M2,Day,OP2,180,6,9.0
2025-02-01,M2,Night,OP3,127,5,44.0
2025-02-01,M3,Day,OP8,172,17,12.0
2025-02-01,M3,Night,OP5,176,19,45.0
2025-02-01,M4,Day,OP5,178,3,9.0
2025-02-01,M4,Night,OP2,179,11,26.0
2025-02-01,M5,Day,OP2,167,4,8.0
2025-02-01,M5,Night,OP6,118,4,21.0
2025-02-02,M1,Day,OP4,102,7,
2025-02-02,M1,Night,OP7,128,9,62.0
2025-02-02,M2,Day,OP10,135,7,17.0
2025-02-02,M2,Night,OP6,158,10,43.0
2025-02-02,M3,day,OP7,133,12,20.0
2025-02-02,M3,Night,OP4,166,16,45.0
2025-02-02,M4,Day,OP5,164,5,14.0
2025-02-02,M4,Night,OP1,167,12,65.0
2025-02-02,M5,Day,OP3,177,5,8.0
2025-02-02,M5,Night,OP3,149,3,26.0
2025-02-03,M1,Day,OP6,104,7,73.0
2025-02-03,M1,Night,OP8,162,9,75.0
2025-02-03,M2,Day,OP10,147,6,39.0
2025-02-03,M2,Night,OP5,135,9,21.0
2025-02-03,M3,day,OP4,180,16,31.0
2025-02-03,M3,Night,OP10,125,12,44.0
2025-02-03,M4,Day,OP6,101,6,28.0
2025-02-03,M4,Night,OP4,122,4,26.0
2025-02-03,M5,Day,OP1,157,4,12.0
2025-02-03,M5,Night,OP7,142,4,24.0
2025-02-04,M1,Day,OP9,122,6,110.0
2025-02-04,M1,Night,OP2,154,10,93.0
2025-02-04,M2,Day,OP9,169,10,8.0
2025-02-04,M2,Night,OP8,121,5,32.0
2025-02-04,M3,Day,OP2,164,16,17.0
2025-02-04,M3,Night,OP5,122,14,32.0
2025-02-04,M4,Day,OP8,176,5,15.0
2025-02-04,M4,Night,OP8,164,9,52.0
2025-02-04,M5,Day,OP3,103,2,4.0
2025-02-04,M5,Night,OP6,124,3,26.0
2025-02-05,M1,DAY,OP8,121,7,98.0
2025-02-05,M1,Night,OP9,122,9,129.0
2025-02-05,M2,Day,OP6,135,3,10.0
2025-02-05,M2,Night,OP2,146,6,31.0
2025-02-05,M3,Day,OP7,175,16,14.0
2025-02-05,M3,Night,OP3,139,16,31.0
2025-02-05,M4,Day,OP9,122,6,7.0
2025-02-05,M4,Night,OP1,146,8,40.0
2025-02-05,M5,day,OP4,102,2,5.0
2025-02-05,M5,Night,OP3,123,2,17.0
2025-02-06,M1,Day,OP2,111,5,68.0
2025-02-06,M1,Night,OP8,113,10,100.0
2025-02-06,M2,Day,OP6,147,8,38.0
2025-02-06,M2,Night,OP10,113,7,45.0
2025-02-06,M3,DAY,OP3,168,19,25.0
2025-02-06,M3,Night,OP2,169,18,56.0
2025-02-06,M4,day,OP9,143,11,49.0
2025-02-06,M4,Night,OP4,139,4,56.0
2025-02-06,M5,Day,OP3,169,3,8.0
2025-02-06,M5,Night,OP7,127,4,14.0
2025-02-07,M1,Day,OP3,108,6,73.0
2025-02-07,M1,Night,OP6,137,10,109.0
2025-02-07,M2,Day,OP7,104,5,37.0
2025-02-07,M2,Night,OP10,113,5,48.0
2025-02-07,M3,Day,OP4,135,15,37.0
2025-02-07,M3,Night,OP1,128,12,27.0
2025-02-07,M4,Day,OP8,138,6,23.0
2025-02-07,M4,Night,OP3,126,3,26.0
2025-02-07,M5,day,OP1,150,2,13.0
2025-02-07,M5,Night,OP3,154,3,27.0
2025-02-08,M1,day,OP9,144,12,105.0
2025-02-08,M1,Night,OP5,144,8,101.0
2025-02-08,M2,Day,OP5,138,7,25.0
2025-02-08,M2,Night,OP5,180,7,51.0
2025-02-08,M3,Day,OP5,164,20,60.0
2025-02-08,M3,Night,OP5,164,18,24.0
2025-02-08,M4,Day,OP10,131,4,12.0
2025-02-08,M4,Night,OP5,151,9,42.0
2025-02-08,M5,Day,OP1,123,1,7.0
2025-02-08,M5,Night,OP10,151,3,20.0
2025-02-09,M1,Day,OP8,130,11,116.0
2025-02-09,M1,Night,OP4,109,11,81.0
2025-02-09,M2,Day,OP10,158,12,49.0
2025-02-09,M2,Night,OP4,128,8,54.0
2025-02-09,M3,Day,OP4,145,14,36.0
2025-02-09,M3,Night,OP6,151,22,89.0
2025-02-09,M4,Day,OP4,118,5,14.0
2025-02-09,M4,Night,OP4,150,7,41.0
2025-02-09,M5,day,OP8,149,2,7.0
2025-02-09,M5,Night,OP9,108,3,15.0
2025-02-10,M1,Day,OP9,108,7,82.0
2025-02-10,M1,Night,OP9,124,7,121.0
2025-02-10,M2,Day,OP6,105,4,17.0
2025-02-10,M2,Night,OP10,114,11,74.0
2025-02-10,M3,Day,OP7,156,17,34.0
2025-02-10,M3,Night,OP9,114,13,36.0
2025-02-10,M4,Day,OP3,146,4,33.0
2025-02-10,M4,Night,OP1,124,6,29.0
2025-02-10,M5,Day,OP6,112,1,8.0
2025-02-10,M5,Night,OP7,100,2,27.0
2025-02-11,M1,Day,OP9,159,9,62.0
2025-02-11,M1,Night,OP8,131,9,78.0
2025-02-11,M2,Day,OP1,137,3,32.0
2025-02-11,M2,Night,OP7,122,4,45.0
2025-02-11,M3,Day,OP2,111,9,28.0
2025-02-11,M3,Night,OP10,172,18,19.0
2025-02-11,M4,Day,OP6,129,2,13.0
2025-02-11,M4,Night,OP7,140,7,48.0
2025-02-11,M5,Day,OP6,168,3,10.0
2025-02-11,M5,Night,OP8,118,3,19.0
2025-02-12,M1,Day,OP1,158,10,108.0
2025-02-12,M1,Night,OP8,170,16,77.0
2025-02-12,M2,Day,OP3,162,7,15.0
2025-02-12,M2,Night,OP9,120,6,51.0
2025-02-12,M3,Day,OP6,129,11,
2025-02-12,M3,Night,OP8,173,21,30.0
2025-02-12,M4,Day,OP2,105,2,35.0
2025-02-12,M4,Night,OP5,114,3,45.0
2025-02-12,M5,Day,OP9,178,3,5.0
2025-02-12,M5,Night,OP5,105,7,51.0
2025-02-13,M1,Day,OP1,130,8,106.0
2025-02-13,M1,Night,OP10,136,18,98.0
2025-02-13,M2,Day,OP10,167,6,24.0
2025-02-13,M2,Night,OP1,145,9,22.0
2025-02-13,M3,Day,OP6,111,11,27.0
2025-02-13,M3,Night,OP3,111,17,78.0
2025-02-13,M4,Day,OP6,111,5,19.0
2025-02-13,M4,Night,OP1,166,5,27.0
2025-02-13,M5,day,OP1,122,1,2.0
2025-02-13,M5,Night,OP8,115,2,15.0
2025-02-14,M1,Day,OP4,153,8,51.0
2025-02-14,M1,Night,OP8,175,22,146.0
2025-02-14,M2,day,OP7,179,8,29.0
2025-02-14,M2,Night,OP4,135,8,41.0
2025-02-14,M3,Day,OP5,170,14,19.0
2025-02-14,M3,Night,OP5,169,21,44.0
2025-02-14,M4,Day,OP3,119,10,61.0
2025-02-14,M4,Night,OP7,164,6,52.0
2025-02-14,M5,Day,OP8,159,2,4.0
2025-02-14,M5,Night,OP6,116,3,20.0
2025-02-15,M1,Day,OP2,110,10,82.0
2025-02-15,M1,Night,OP9,175,15,49.0
2025-02-15,M2,Day,OP10,131,5,33.0
2025-02-15,M2,Night,OP3,154,7,38.0
2025-02-15,M3,Day,OP1,124,14,35.0
2025-02-15,M3,Night,OP1,152,14,51.0
2025-02-15,M4,Day,OP6,122,7,8.0
2025-02-15,M4,Night,OP6,178,7,34.0
2025-02-15,M5,Day,OP9,175,2,10.0
2025-02-15,M5,Night,OP6,157,4,18.0
2025-02-16,M1,Day,OP4,156,14,96.0
2025-02-16,M1,Night,OP10,122,13,101.0
2025-02-16,M2,day,OP7,171,9,40.0
2025-02-16,M2,Night,OP2,102,4,37.0
2025-02-16,M3,Day,OP4,137,15,35.0
2025-02-16,M3,Night,OP4,118,11,44.0
2025-02-16,M4,Day,OP2,161,8,16.0
2025-02-16,M4,Night,OP10,150,6,19.0
2025-02-16,M5,Day,OP2,165,2,2.0
2025-02-16,M5,Night,OP6,135,5,22.0
2025-02-17,M1,Day,OP3,140,7,61.0
2025-02-17,M1,Night,OP5,146,8,99.0
2025-02-17,M2,day,OP7,147,6,5.0
2025-02-17,M2,Night,OP7,141,9,41.0
2025-02-17,M3,Day,OP3,152,14,32.0
2025-02-17,M3,Night,OP10,162,16,42.0
2025-02-17,M4,Day,OP7,116,6,33.0
2025-02-17,M4,Night,OP2,157,12,65.0
2025-02-17,M5,day,OP9,170,1,4.0
2025-02-17,M5,Night,OP8,155,3,12.0
2025-02-18,M1,Day,OP2,180,11,98.0
2025-02-18,M1,Night,OP8,101,8,112.0
2025-02-18,M2,Day,OP2,165,7,15.0
2025-02-18,M2,Night,OP4,132,8,56.0
2025-02-18,M3,Day,OP2,151,18,
2025-02-18,M3,Night,OP5,149,15,46.0
2025-02-18,M4,Day,OP2,133,3,5.0
2025-02-18,M4,Night,OP8,166,9,46.0
2025-02-18,M5,Day,OP5,122,2,8.0
2025-02-18,M5,Night,OP5,172,5,21.0
2025-02-19,M1,Day,OP3,164,8,80.0
2025-02-19,M1,Night,OP6,132,10,123.0
2025-02-19,M2,Day,OP4,122,3,10.0
2025-02-19,M2,Night,OP5,138,7,38.0
2025-02-19,M3,Day,OP4,162,13,37.0
2025-02-19,M3,Night,OP3,119,13,52.0
2025-02-19,M4,day,OP4,132,8,58.0
2025-02-19,M4,Night,OP1,139,7,44.0
2025-02-19,M5,Day,OP10,135,3,1.0
2025-02-19,M5,Night,OP10,101,2,33.0
2025-02-20,M1,Day,OP9,155,11,78.0
2025-02-20,M1,Night,OP6,108,11,154.0
2025-02-20,M2,Day,OP6,134,4,24.0
2025-02-20,M2,Night,OP9,173,7,22.0
2025-02-20,M3,Day,OP5,143,15,32.0
2025-02-20,M3,Night,OP8,108,10,33.0
2025-02-20,M4,Day,OP10,106,3,39.0
2025-02-20,M4,Night,OP3,164,9,45.0
2025-02-20,M5,Day,OP5,121,1,5.0
2025-02-20,M5,Night,OP4,171,4,12.0
2025-02-21,M1,Day,OP9,164,19,109.0
2025-02-21,M1,Night,OP10,178,18,68.0
2025-02-21,M2,day,OP6,130,7,19.0
2025-02-21,M2,Night,OP8,173,9,19.0
2025-02-21,M3,Day,OP7,173,17,24.0
2025-02-21,M3,Night,OP6,151,14,27.0
2025-02-21,M4,Day,OP8,104,5,35.0
2025-02-21,M4,Night,OP2,124,8,86.0
2025-02-21,M5,Day,OP9,168,4,13.0
2025-02-21,M5,Night,OP8,152,4,22.0
2025-02-22,M1,Day,OP3,160,8,43.0
2025-02-22,M1,Night,OP9,154,12,73.0
2025-02-22,M2,Day,OP8,161,4,7.0
2025-02-22,M2,Night,OP10,131,3,33.0
2025-02-22,M3,Day,OP4,169,17,23.0
2025-02-22,M3,Night,OP1,118,13,32.0
2025-02-22,M4,day,OP5,166,8,20.0
2025-02-22,M4,Night,OP3,163,8,17.0
2025-02-22,M5,Day,OP10,124,3,15.0
2025-02-22,M5,Night,OP3,166,5,
2025-02-23,M1,Day,OP10,171,11,72.0
2025-02-23,M1,Night,OP10,153,13,67.0
2025-02-23,M2,Day,OP1,128,3,8.0
2025-02-23,M2,Night,OP1,155,10,15.0
2025-02-23,M3,Day,OP1,112,11,37.0
2025-02-23,M3,Night,OP4,105,13,48.0
2025-02-23,M4,Day,OP3,108,5,10.0
2025-02-23,M4,Night,OP2,158,7,46.0
2025-02-23,M5,Day,OP8,150,2,11.0
2025-02-23,M5,Night,OP8,134,4,26.0
2025-02-24,M1,Day,OP6,160,17,146.0
2025-02-24,M1,Night,OP1,180,12,58.0
2025-02-24,M2,Day,OP9,170,4,8.0
2025-02-24,M2,Night,OP10,109,6,38.0
2025-02-24,M3,Day,OP4,139,16,26.0
2025-02-24,M3,Night,OP10,128,11,18.0
2025-02-24,M4,Day,OP8,152,6,10.0
2025-02-24,M4,Night,OP1,179,6,53.0
2025-02-24,M5,Day,OP3,134,2,7.0
2025-02-24,M5,Night,OP3,133,5,21.0
2025-02-25,M1,Day,OP7,177,11,72.0
2025-02-25,M1,Night,OP10,178,10,127.0
2025-02-25,M2,Day,OP5,136,6,8.0
2025-02-25,M2,Night,OP8,133,8,57.0
2025-02-25,M3,DAY,OP10,121,14,31.0
2025-02-25,M3,Night,OP10,180,16,48.0
2025-02-25,M4,Day,OP8,142,7,7.0
2025-02-25,M4,Night,OP9,152,9,35.0
2025-02-25,M5,Day,OP1,140,1,5.0
